,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
389,963.36,1,10,5,72.97,1,18905.0,0,0,5400.0
390,779.94,6,10,4,77.13,1,21324.13793,0,0,6276.0
391,2105.23,3,10,9,55.73,2,21055.0,0,0,8556.0
392,682.0,6,10,3,78.42,1,11641.37931,0,0,8220.0
393,630.14,7,10,1,78.28,1,15377.58621,0,0,0.0
394,1244.69,2,10,2,60.18,2,12765.0,0,0,0.0
395,1421.54,7,10,3,59.63,2,25284.56358,0,0,242.9531258
396,1694.57,1,10,8,37.63,4,39119.0,0,0,1176.0
397,653.9,7,10,2,73.52,1,19655.70292,0,0,3057.692308
398,1456.7,5,10,8,51.8,3,41052.0,0,0,0.0
399,958.17,1,10,8,78.26,1,21738.02817,0,0,4800.0
400,1104.17,2,10,6,63.47,2,19651.0,0,0,5280.0
401,1289.87,7,10,3,56.99,2,24806.9004,0,0,751.9977702
402,1232.81,3,10,4,67.14,2,8468.571429,0,0,7200.0
403,819.87,6,10,3,69.77,1,20106.89655,0,0,5376.0
404,1472.92,4,10,4,75.18,1,12464.66754,0,0,5139.692308
405,1072.99,1,10,8,70.8,1,22789.59913,0,0,5150.769231
406,1751.62,3,10,6,48.9,3,16247.85714,0,0,4848.0
407,668.17,7,10,1,77.19,1,11960.34483,0,0,0.0
408,748.31,6,10,6,73.07,1,37660.34483,0,0,4200.0
