,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
9211,1335.92,2,7,7,61.37,2,21539.0,0,0,19200.0
9212,979.25,6,2,2,66.94,2,17483.18966,0,0,4959.75
9213,804.02,6,9,4,68.73,1,30551.72414,0,0,6500.0
9214,1331.92,2,2,4,66.01,2,22911.0,0,0,0.0
9215,948.55,4,8,4,69.9,1,19552.5641,0,0,7200.0
9216,878.64,2,9,8,75.25,1,42341.0,0,0,0.0
9217,1016.89,2,6,3,67.83,2,9978.0,0,0,4884.0
9218,1253.49,2,7,3,71.68,1,17946.0,0,0,0.0
9219,1061.96,6,9,7,58.47,2,48767.24138,0,0,6840.0
9220,1428.13,1,7,7,54.04,3,32287.0,0,0,8400.0
9221,795.93,6,9,3,70.95,1,21703.44828,0,0,4740.0
9222,901.02,5,8,4,72.48,1,16122.0,0,0,6120.0
9223,1532.03,3,9,9,67.54,2,29062.50712,0,0,10221.49003
9224,1119.9,4,5,4,67.81,2,15799.16667,0,0,4472.0
9225,1039.31,6,2,1,62.08,2,2224.137931,1,1,0.0
9226,2395.24,3,10,6,14.36,5,20390.0,0,0,6000.0
9227,1535.06,3,2,4,74.65,1,9175.5,0,0,4560.0
9228,1899.72,3,8,6,44.98,3,7037.142857,0,0,23400.0
9229,1365.75,2,10,6,56.34,2,32083.0,0,0,0.0
9230,1269.19,3,7,8,71.61,1,29228.92975,0,0,5642.498348
9231,883.33,7,1,3,69.43,1,23800.0,0,0,3264.0
9232,1477.7,4,10,6,73.44,1,16174.64789,0,0,12000.0
9233,1012.78,5,7,6,69.16,1,22810.0,0,0,9000.0
9234,1313.92,1,10,9,69.4,1,40622.53521,0,0,5544.0
9235,1359.29,1,4,9,64.88,2,51166.0,0,0,9000.0
9236,1108.32,4,10,3,73.03,1,17531.0,0,0,0.0
9237,1487.01,2,4,8,64.17,2,41897.0,0,0,2844.0
9238,799.63,7,5,4,83.9,1,33503.44828,0,0,4940.0
9239,3617.17,3,9,10,27.54,4,100000.0,0,0,10200.0
9240,1167.14,3,9,8,69.71,1,18278.57143,0,0,9576.0
9241,1647.03,2,9,10,70.11,1,74883.0,0,0,0.0
9242,1080.71,7,4,1,62.13,2,12162.06897,0,0,4524.0
9243,1002.6,5,7,7,68.49,2,35465.0,0,0,1380.0
9244,1792.7,3,4,9,71.3,1,35353.57143,0,0,11400.0
9245,1029.68,7,9,1,71.44,1,7411.65982,1,1,4430.237305
9246,1047.82,4,6,2,77.72,1,12703.84615,0,0,4953.0
9247,1079.78,4,10,4,73.32,1,17234.69388,0,0,6252.0
9248,1026.31,7,6,1,61.23,2,6312.068966,1,1,5252.0
9249,1371.1,1,2,9,65.28,2,36797.88732,0,0,4300.0
9250,1045.73,1,7,8,71.31,1,40317.0,0,0,6910.0
9251,963.42,4,6,4,70.44,1,21451.28205,0,0,4644.0
9252,1668.0,2,7,4,67.04,2,21488.47214,0,0,2742.527855
9253,1034.09,2,7,3,79.26,1,16747.0,0,0,0.0
9254,577.08,7,4,2,80.2,1,16179.31034,0,0,4420.0
9255,815.76,7,2,1,69.81,1,9434.482759,1,0,3484.0
9256,1490.28,2,10,1,62.02,2,3919.0,1,1,8160.0
9257,1336.91,3,5,9,79.52,1,27672.14286,0,0,12600.0
9258,1248.25,1,9,5,70.11,1,24541.0,0,0,4620.0
9259,1576.57,2,2,7,62.03,2,35956.0,0,0,2700.0
9260,1560.29,3,9,7,66.04,2,20023.75,0,0,8040.0
9261,1136.97,5,8,4,71.51,1,13918.0,0,0,8320.0
9262,912.25,2,8,9,74.42,1,37001.40845,0,0,0.0
9263,1125.09,5,6,2,66.74,2,4758.0,1,0,5408.0
9264,1053.5,7,1,2,65.57,2,16729.31034,1,0,3536.0
9265,1071.24,5,8,6,30.4,4,20087.0,0,0,11940.0
9266,1207.78,4,1,3,80.17,1,8177.160494,0,0,4576.0
9267,853.59,7,6,1,67.41,2,20882.75862,0,0,0.0
9268,927.14,6,2,6,73.57,1,52946.55172,0,0,0.0
9269,765.87,7,10,1,76.31,1,16953.44828,0,0,0.0
9270,1275.42,2,2,3,61.67,2,19171.0,0,0,0.0
9271,1081.57,7,4,2,63.88,2,13734.35173,0,0,4359.075995
9272,2868.25,3,8,7,27.94,4,25648.33333,0,0,10200.0
9273,1286.54,2,7,4,64.55,2,24530.0,0,0,0.0
9274,1658.96,2,7,1,44.86,3,12202.0,1,1,0.0
9275,1624.57,1,9,10,62.25,2,72306.0,0,0,6000.0
9276,1384.14,3,8,9,71.78,1,25326.56227,0,0,5947.125425
9277,966.22,2,6,6,78.09,1,34726.0,0,0,0.0
9278,1236.54,7,10,3,76.86,1,18225.86207,1,0,7200.0
9279,1297.48,5,7,6,58.7,2,15900.0,0,0,15600.0
9280,550.16,7,10,5,80.53,1,33503.44828,0,0,5616.0
9281,1534.39,2,2,3,46.29,3,16007.0,0,0,3960.0
9282,1139.7,3,8,7,79.26,1,11746.46018,0,0,8400.0
9283,1266.73,3,9,8,73.88,1,26341.66667,0,0,10200.0
9284,1365.74,5,4,9,68.06,2,30875.30864,0,0,4332.0
9285,1062.8,2,7,7,69.31,1,18873.94366,0,0,5304.0
9286,1721.65,2,4,4,55.12,2,10342.95775,0,0,4440.0
9287,900.67,7,9,5,73.94,1,43853.44828,0,0,0.0
9288,1552.25,3,2,6,69.76,1,12096.72131,0,0,5096.0
9289,1228.98,1,4,4,75.43,1,12665.49296,0,0,6180.0
9290,766.7,6,9,4,73.03,1,30548.27586,0,0,5096.0
9291,858.86,2,5,7,82.16,1,21521.83099,0,0,5200.0
9292,1725.19,3,5,9,72.81,1,22412.7451,0,0,8676.0
9293,926.94,1,7,5,78.51,1,20223.0,0,0,7140.0
9294,924.39,3,9,7,80.84,1,17388.2716,0,0,6084.0
9295,1448.56,5,6,1,66.15,2,0.0,1,1,13620.0
9296,1380.82,2,8,10,61.01,2,63745.0,0,0,13200.0
9297,1039.95,2,7,5,73.89,1,29284.0,0,0,0.0
9298,1459.26,3,10,5,68.66,1,12507.14286,0,0,9000.0
9299,925.59,5,1,5,76.8,1,16797.0,0,0,5668.0
9300,1193.53,5,8,8,69.87,1,16278.39506,0,0,16800.0
9301,464.96,7,6,4,88.92,1,13613.7931,0,0,10400.0
9302,1125.42,6,8,5,68.69,1,26763.7931,0,0,13200.0
9303,884.53,6,4,2,71.46,1,11705.17241,0,0,3360.0
9304,661.69,2,10,6,82.19,1,26233.0,0,0,4125.0
9305,675.6,7,9,2,72.84,1,15695.23078,0,0,4266.76615
9306,1141.19,3,7,5,69.59,1,10388.73239,0,0,7300.0
9307,2031.0,4,2,4,56.67,2,11233.89831,0,0,9900.0
9308,826.97,3,8,4,76.16,1,12735.83333,0,0,6240.0
9309,1137.29,5,9,4,65.74,2,19252.0,0,0,4368.0
9310,655.3,6,2,2,76.9,1,16720.68966,0,0,3172.0
9311,1818.41,3,4,6,72.41,1,13696.0396,0,0,3600.0
9312,1768.43,3,5,6,64.1,2,14262.77778,0,0,4032.0
9313,1378.57,4,2,6,65.31,2,20470.33898,0,0,4550.0
9314,1255.77,3,4,5,75.6,1,20679.16667,0,0,4740.0
9315,1080.96,5,2,4,69.95,1,26697.4359,0,0,0.0
9316,1177.5,2,9,5,65.43,2,15389.0,0,0,4680.0
9317,1659.63,5,9,10,66.48,2,29698.13433,0,0,0.0
9318,1586.24,1,1,4,60.66,2,11317.60563,0,0,5980.0
9319,995.38,5,7,7,70.79,1,33389.0,0,0,4080.0
9320,1246.96,2,5,8,64.48,2,45186.0,0,0,0.0
9321,1190.6,6,9,5,55.32,2,41137.93103,0,0,4800.0
9322,630.66,6,8,2,79.76,1,9005.172414,0,0,10176.0
9323,1297.34,5,9,5,64.33,2,19996.0,0,0,7140.0
9324,3080.86,3,4,4,36.82,4,15198.59155,1,1,0.0
9325,1751.92,3,8,7,54.29,3,15092.14286,0,0,16320.0
9326,1195.55,1,9,8,73.21,1,35827.0,0,0,12912.0
9327,1291.25,1,4,6,61.88,2,30979.0,0,0,0.0
9328,1475.84,3,9,9,71.23,1,33446.42857,0,0,10464.0
9329,1551.43,3,10,7,67.66,2,23862.67606,0,0,3396.0
9330,701.75,7,5,3,73.99,1,22708.62069,0,0,3774.0
9331,1003.94,7,7,6,64.73,2,56722.41379,0,0,0.0
9332,1424.63,3,9,6,63.57,2,17657.5,0,0,8640.0
9333,1349.87,2,5,8,71.96,1,49813.0,0,0,0.0
9334,1282.44,1,4,9,61.94,2,40828.0,0,0,10884.0
9335,678.63,6,2,1,75.45,1,12217.24138,0,0,4320.0
9336,843.66,6,2,1,69.63,1,9393.103448,0,0,6000.0
9337,898.99,6,7,2,57.06,2,17093.10345,0,0,6600.0
9338,875.82,7,4,1,69.2,1,10346.33137,1,0,3282.127808
9339,908.7,4,7,2,74.75,1,12712.82051,0,0,5252.0
9340,986.56,2,10,6,78.84,1,33756.0,0,0,0.0
9341,796.1,7,9,3,71.36,1,22708.62069,0,0,5720.0
